occupation_id,demand_expansion_context,labor_demand_context,labor_tightness_context,ai_adoption_context,adoption_realization_context,labor_context_confidence,adoption_context_confidence,context_confidence,btos_covered_sector_share,source_mix,notes,demand_floor_suppression
occ_13_1161_00,0.6664,0.6777,0.6400,0.7412,0.7397,0.8500,0.9468,0.8936,0.9900,src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03|src_bls_oews_2024|src_census_acs_2024_1yr_pums_api|src_census_btos_2026_03,growth_pct_pct=0.717|openings_rate_pct=0.733|inverse_unemployment_pct=0.500|btos_adoption_pct=0.724|btos_current_ai_use_pct=0.690|btos_workflow_change_pct=0.707|adoption_activation=1.000,1.00
occ_13_2011_00,0.4754,0.4906,0.4400,0.6546,0.6465,0.8500,0.9236,0.8831,0.9250,src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03|src_bls_oews_2024|src_census_acs_2024_1yr_pums_api|src_census_btos_2026_03,growth_pct_pct=0.528|openings_rate_pct=0.400|inverse_unemployment_pct=0.500|btos_adoption_pct=0.621|btos_current_ai_use_pct=0.638|btos_workflow_change_pct=0.621|adoption_activation=1.000,1.00
occ_13_2051_00,0.4585,0.5050,0.3500,0.5124,0.5131,0.8500,0.9256,0.8840,0.9430,src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03|src_bls_oews_2024|src_census_acs_2024_1yr_pums_api|src_census_btos_2026_03,growth_pct_pct=0.623|openings_rate_pct=0.250|inverse_unemployment_pct=0.500|btos_adoption_pct=0.448|btos_current_ai_use_pct=0.483|btos_workflow_change_pct=0.500|adoption_activation=0.750,1.00
occ_13_2052_00,0.6258,0.6754,0.5100,0.5895,0.5937,0.8500,0.9489,0.8945,0.9900,src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03|src_bls_oews_2024|src_census_acs_2024_1yr_pums_api|src_census_btos_2026_03,growth_pct_pct=0.811|openings_rate_pct=0.517|inverse_unemployment_pct=0.500|btos_adoption_pct=0.552|btos_current_ai_use_pct=0.534|btos_workflow_change_pct=0.534|adoption_activation=0.890,1.00
occ_13_2072_00,0.3245,0.3264,0.3200,0.5519,0.5452,0.8500,0.9434,0.8920,0.9760,src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03|src_bls_oews_2024|src_census_acs_2024_1yr_pums_api|src_census_btos_2026_03,growth_pct_pct=0.321|openings_rate_pct=0.200|inverse_unemployment_pct=0.500|btos_adoption_pct=0.517|btos_current_ai_use_pct=0.500|btos_workflow_change_pct=0.466|adoption_activation=0.822,1.00
occ_15_1211_00,0.4679,0.5484,0.2800,0.6378,0.6211,0.8500,0.9277,0.8850,0.9470,src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03|src_bls_oews_2024|src_census_acs_2024_1yr_pums_api|src_census_btos_2026_03,growth_pct_pct=0.755|openings_rate_pct=0.133|inverse_unemployment_pct=0.500|btos_adoption_pct=0.603|btos_current_ai_use_pct=0.603|btos_workflow_change_pct=0.603|adoption_activation=0.978,1.00
occ_15_1212_00,0.7102,0.7875,0.5300,0.8191,0.7872,0.8500,0.8965,0.8709,0.8380,src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03|src_bls_oews_2024|src_census_acs_2024_1yr_pums_api|src_census_btos_2026_03,growth_pct_pct=1.000|openings_rate_pct=0.550|inverse_unemployment_pct=0.500|btos_adoption_pct=0.810|btos_current_ai_use_pct=0.828|btos_workflow_change_pct=0.828|adoption_activation=1.000,1.00
occ_15_1232_00,0.1927,0.1810,0.2200,0.8538,0.8057,0.8500,0.9288,0.8855,0.9350,src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03|src_bls_oews_2024|src_census_acs_2024_1yr_pums_api|src_census_btos_2026_03,growth_pct_pct=0.132|openings_rate_pct=0.033|inverse_unemployment_pct=0.500|btos_adoption_pct=0.845|btos_current_ai_use_pct=0.845|btos_workflow_change_pct=0.845|adoption_activation=1.000,1.00
occ_15_1241_00,0.5069,0.6127,0.2600,0.9328,0.8788,0.8500,0.9239,0.8833,0.9490,src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03|src_bls_oews_2024|src_census_acs_2024_1yr_pums_api|src_census_btos_2026_03,growth_pct_pct=0.887|openings_rate_pct=0.100|inverse_unemployment_pct=0.500|btos_adoption_pct=0.931|btos_current_ai_use_pct=0.931|btos_workflow_change_pct=0.931|adoption_activation=1.000,1.00
occ_15_1244_00,0.1722,0.1561,0.2100,0.7100,0.6741,0.8500,0.9048,0.8747,0.8840,src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03|src_bls_oews_2024|src_census_acs_2024_1yr_pums_api|src_census_btos_2026_03,growth_pct_pct=0.094|openings_rate_pct=0.017|inverse_unemployment_pct=0.500|btos_adoption_pct=0.690|btos_current_ai_use_pct=0.707|btos_workflow_change_pct=0.672|adoption_activation=1.000,0.20
