occupation_id,onet_soc_code,acs_reference_year,acs_release_label,acs_socp_code,acs_query_mode,sample_record_count,employed_record_count,weighted_worker_count,wage_record_count,median_wage_usd,wage_p25_usd,wage_p75_usd,wage_dispersion_ratio,wage_dispersion_percentile,education_dispersion,industry_dispersion,class_of_worker_dispersion,age_band_dispersion,sex_mix_balance,worker_mix_dispersion,heterogeneity_index,acs_confidence,source_mix,notes
occ_17_2072_00,17-2072.00,2024,acs_1yr_pums,172070,grouped_zero_fallback,3614,3034,299447.000,2991,110000.000,82000.000,150000.000,0.618,0.236,0.655,0.926,0.295,0.793,0.232,0.472,0.630,0.950,src_census_acs_2024_1yr_pums_api,acs_api_records=3614|employed_records=3034|wage_record_share=0.986|query_mode=grouped_zero_fallback
occ_17_2112_00,17-2112.00,2024,acs_1yr_pums,172110,grouped_zero_fallback,3719,3197,320705.000,3182,95000.000,74000.000,120000.000,0.484,0.018,0.651,0.965,0.134,0.786,0.463,0.510,0.606,0.950,src_census_acs_2024_1yr_pums_api,acs_api_records=3719|employed_records=3197|wage_record_share=0.995|query_mode=grouped_zero_fallback
occ_17_2141_00,17-2141.00,2024,acs_1yr_pums,172141,exact_socp,4303,3745,384286.000,3715,100000.000,77000.000,130000.000,0.530,0.055,0.607,0.889,0.152,0.774,0.180,0.411,0.556,0.950,src_census_acs_2024_1yr_pums_api,acs_api_records=4303|employed_records=3745|wage_record_share=0.992|query_mode=exact_socp
occ_23_1011_00,23-1011.00,2024,acs_1yr_pums,231011,no_rows,0,0,0.000,0,,,,,,,,,,,,,0.350,src_census_acs_2024_1yr_pums_api,acs_api_records=0|employed_records=0|wage_record_share=0.000|query_mode=no_rows
occ_23_2011_00,23-2011.00,2024,acs_1yr_pums,232011,exact_socp,5805,4735,491790.000,4642,55000.000,39200.000,75000.000,0.651,0.309,0.769,0.383,0.373,0.799,0.296,0.516,0.491,0.950,src_census_acs_2024_1yr_pums_api,acs_api_records=5805|employed_records=4735|wage_record_share=0.980|query_mode=exact_socp
occ_27_1024_00,27-1024.00,2024,acs_1yr_pums,271024,exact_socp,3926,3298,339495.000,2830,54000.000,35000.000,75000.000,0.741,0.564,0.613,0.899,0.573,0.777,0.872,0.759,0.733,0.936,src_census_acs_2024_1yr_pums_api,acs_api_records=3926|employed_records=3298|wage_record_share=0.858|query_mode=exact_socp
occ_27_3023_00,27-3023.00,2024,acs_1yr_pums,273023,exact_socp,1029,822,85938.000,768,60000.000,37000.000,99000.000,1.033,0.873,0.513,0.759,0.467,0.780,0.963,0.766,0.722,0.886,src_census_acs_2024_1yr_pums_api,acs_api_records=1029|employed_records=822|wage_record_share=0.934|query_mode=exact_socp
occ_27_3031_00,27-3031.00,2024,acs_1yr_pums,273031,exact_socp,1821,1558,160918.000,1508,75000.000,46000.000,125000.000,1.053,0.891,0.656,0.945,0.715,0.781,0.638,0.714,0.816,0.935,src_census_acs_2024_1yr_pums_api,acs_api_records=1821|employed_records=1558|wage_record_share=0.968|query_mode=exact_socp
occ_27_3041_00,27-3041.00,2024,acs_1yr_pums,273041,exact_socp,1578,1286,115526.000,1128,65000.000,37000.000,95000.000,0.892,0.727,0.650,0.895,0.601,0.797,0.763,0.736,0.769,0.902,src_census_acs_2024_1yr_pums_api,acs_api_records=1578|employed_records=1286|wage_record_share=0.877|query_mode=exact_socp
occ_27_3042_00,27-3042.00,2024,acs_1yr_pums,273042,exact_socp,764,608,56317.000,596,80000.000,60000.000,110000.000,0.625,0.255,0.693,0.927,0.304,0.789,0.804,0.673,0.683,0.871,src_census_acs_2024_1yr_pums_api,acs_api_records=764|employed_records=608|wage_record_share=0.980|query_mode=exact_socp
