"occupation_id","onet_soc_code","bls_occ_code","ors_reference_year","ors_reference_wave","interaction_intensity","external_interaction_intensity","internal_interaction_intensity","people_skill_intensity","speaking_intensity","autonomy_intensity","review_intensity","pause_control_share","self_paced_share","supervisor_present_share","supervising_others_share","pace_constraint_intensity","people_control_share","software_control_share","target_control_share","fast_pace_share","telework_ability_share","work_schedule_variability_share","human_constraint_index","ors_confidence","source_mix","notes"
"occ_13_2011_00","13-2011.00","132011","2025","third_wave_preliminary","0.476","0.398","0.707","","0.402","0.646","0.208","","0.735","0.502","0.213","0.398","0.262","","","0.640","0.684","0.349","0.492","0.774","src_bls_ors_2025_prelim","source_primary=2025|completeness=0.82|stability=0.72"
"occ_13_2051_00","13-2051.00","132051","2025","third_wave_preliminary","0.351","0.155","0.806","","0.417","0.546","0.285","","0.620","0.765","0.124","0.561","0.380","","","0.884","0.783","","0.381","0.724","src_bls_ors_2025_prelim","source_primary=2025|completeness=0.73|stability=0.72"
"occ_13_2052_00","13-2052.00","132052","","no_rows","","","","","","","","","","","","","","","","","","","","0.350","","source_primary=none|completeness=0.00|stability=0.72"
"occ_13_2072_00","13-2072.00","132072","2025","third_wave_preliminary","0.719","0.761","0.665","","0.615","0.580","0.296","0.960","0.437","0.543","0.165","0.532","0.520","","","0.552","0.462","0.306","0.471","0.824","src_bls_ors_2025_prelim","source_primary=2025|completeness=0.91|stability=0.72"
"occ_15_1211_00","15-1211.00","151211","2025","third_wave_preliminary","0.283","0.175","0.492","","0.406","0.552","0.182","","0.601","0.347","0.066","0.725","","","","0.725","0.861","0.071","0.328","0.774","src_bls_ors_2025_prelim","source_primary=2025|completeness=0.82|stability=0.72"
"occ_15_1212_00","15-1212.00","151212","","no_rows","","","","","","","","","","","","","","","","","","","","0.350","","source_primary=none|completeness=0.00|stability=0.72"
"occ_15_1232_00","15-1232.00","151232","2025","third_wave_preliminary","0.600","0.382","0.812","0.970","0.529","0.367","0.334","0.867","0.038","0.392","0.013","0.554","0.930","0.022","","0.536","0.524","0.306","0.327","0.874","src_bls_ors_2025_prelim","source_primary=2025|completeness=1.00|stability=0.72"
"occ_15_1241_00","15-1241.00","151241","","no_rows","","","","","","","","","","","","","","","","","","","","0.350","","source_primary=none|completeness=0.00|stability=0.72"
"occ_15_1244_00","15-1244.00","151244","2025","third_wave_preliminary","0.422","0.294","0.700","","0.502","0.462","0.264","","0.445","0.440","0.141","0.485","0.542","","","0.385","0.522","0.277","0.367","0.774","src_bls_ors_2025_prelim","source_primary=2025|completeness=0.82|stability=0.72"
"occ_15_1252_00","15-1252.00","151252","2025","third_wave_preliminary","0.418","0.336","0.625","","0.412","0.604","0.199","","0.658","0.340","0.196","0.750","","","","0.750","0.772","0.232","0.389","0.774","src_bls_ors_2025_prelim","source_primary=2025|completeness=0.82|stability=0.72"
"occ_15_1253_00","15-1253.00","151253","","no_rows","","","","","","","","","","","","","","","","","","","","0.350","","source_primary=none|completeness=0.00|stability=0.72"
"occ_15_2031_00","15-2031.00","152031","","no_rows","","","","","","","","","","","","","","","","","","","","0.350","","source_primary=none|completeness=0.00|stability=0.72"
"occ_17_2051_00","17-2051.00","172051","2025","third_wave_preliminary","0.118","0.043","","","0.491","0.574","0.197","","0.460","","","0.656","0.540","","","0.862","","0.250","0.498","0.624","src_bls_ors_2025_prelim","source_primary=2025|completeness=0.55|stability=0.72"
"occ_17_2071_00","17-2071.00","172071","","no_rows","","","","","","","","","","","","","","","","","","","","0.350","","source_primary=none|completeness=0.00|stability=0.72"
