occupation_id,accountability_context,bargaining_power_context,fragmentation_context,accountability_context_confidence,bargaining_context_confidence,fragmentation_context_confidence,ors_guardrail_signal,expert_scarcity_signal,heterogeneity_fragmentation_signal,source_mix,notes
occ_13_1031_00,0.5960,0.4766,0.5556,0.3696,0.6965,0.7900,,0.4933,0.5980,src_oecd_job_quality_2014|src_onet_30_1|src_internal_stub_2026_03|src_census_acs_2024_1yr_pums_api|src_onet_30_1|src_anthropic_ei_2026_03_24|src_bls_oews_2024|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03|src_bls_oews_2024|src_census_acs_2024_1yr_pums_api|src_census_btos_2026_03|src_runtime_function_context_2026_03,knowledge_share=0.380|people_share=0.180|routine_share=0.300|job_zone_norm=0.750|wage_pct=0.450
occ_13_1041_00,0.5403,0.5240,0.6770,0.7109,0.6815,0.7800,0.5281,0.5368,0.7379,src_bls_ors_2025_prelim|src_oecd_job_quality_2014|src_onet_30_1|src_internal_stub_2026_03|src_census_acs_2024_1yr_pums_api|src_onet_30_1|src_anthropic_ei_2026_03_24|src_bls_oews_2024|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03|src_bls_oews_2024|src_census_acs_2024_1yr_pums_api|src_census_btos_2026_03|src_runtime_function_context_2026_03,knowledge_share=0.240|people_share=0.440|routine_share=0.320|job_zone_norm=0.750|wage_pct=0.517
occ_13_1051_00,0.3604,0.4743,0.6388,0.6749,0.6896,0.7710,0.3087,0.5284,0.6744,src_bls_ors_2025_prelim|src_oecd_job_quality_2014|src_onet_30_1|src_internal_stub_2026_03|src_census_acs_2024_1yr_pums_api|src_onet_30_1|src_anthropic_ei_2026_03_24|src_bls_oews_2024|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03|src_bls_oews_2024|src_census_acs_2024_1yr_pums_api|src_census_btos_2026_03|src_runtime_function_context_2026_03,knowledge_share=0.400|people_share=0.060|routine_share=0.540|job_zone_norm=0.750|wage_pct=0.483
occ_13_1071_00,0.5146,0.5583,0.6579,0.7109,0.7159,0.8350,0.4805,0.5600,0.7241,src_bls_ors_2025_prelim|src_oecd_job_quality_2014|src_onet_30_1|src_internal_stub_2026_03|src_census_acs_2024_1yr_pums_api|src_onet_30_1|src_anthropic_ei_2026_03_24|src_bls_oews_2024|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03|src_bls_oews_2024|src_census_acs_2024_1yr_pums_api|src_census_btos_2026_03|src_runtime_function_context_2026_03,knowledge_share=0.390|people_share=0.230|routine_share=0.140|job_zone_norm=0.750|wage_pct=0.367
occ_13_1081_00,0.5960,0.6015,0.6371,0.3696,0.6715,0.7500,,0.5703,0.6962,src_oecd_job_quality_2014|src_onet_30_1|src_internal_stub_2026_03|src_census_acs_2024_1yr_pums_api|src_onet_30_1|src_anthropic_ei_2026_03_24|src_bls_oews_2024|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03|src_bls_oews_2024|src_census_acs_2024_1yr_pums_api|src_census_btos_2026_03|src_runtime_function_context_2026_03,knowledge_share=0.270|people_share=0.530|routine_share=0.190|job_zone_norm=0.750|wage_pct=0.533
occ_13_1082_00,0.6429,0.5877,0.6142,0.6749,0.6879,0.7750,0.6166,0.5881,0.6437,src_bls_ors_2025_prelim|src_oecd_job_quality_2014|src_onet_30_1|src_internal_stub_2026_03|src_census_acs_2024_1yr_pums_api|src_onet_30_1|src_anthropic_ei_2026_03_24|src_bls_oews_2024|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03|src_bls_oews_2024|src_census_acs_2024_1yr_pums_api|src_census_btos_2026_03|src_runtime_function_context_2026_03,knowledge_share=0.000|people_share=0.630|routine_share=0.160|job_zone_norm=0.750|wage_pct=0.650
occ_13_1111_00,0.5461,0.7177,0.5711,0.6749,0.6977,0.7900,0.5037,0.7466,0.6616,src_bls_ors_2025_prelim|src_oecd_job_quality_2014|src_onet_30_1|src_internal_stub_2026_03|src_census_acs_2024_1yr_pums_api|src_onet_30_1|src_anthropic_ei_2026_03_24|src_bls_oews_2024|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03|src_bls_oews_2024|src_census_acs_2024_1yr_pums_api|src_census_btos_2026_03|src_runtime_function_context_2026_03,knowledge_share=0.850|people_share=0.150|routine_share=0.000|job_zone_norm=0.750|wage_pct=0.683
occ_13_1151_00,0.4882,0.5675,0.6509,0.7109,0.6826,0.7695,0.4482,0.5591,0.7147,src_bls_ors_2025_prelim|src_oecd_job_quality_2014|src_onet_30_1|src_internal_stub_2026_03|src_census_acs_2024_1yr_pums_api|src_onet_30_1|src_anthropic_ei_2026_03_24|src_bls_oews_2024|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03|src_bls_oews_2024|src_census_acs_2024_1yr_pums_api|src_census_btos_2026_03|src_runtime_function_context_2026_03,knowledge_share=0.430|people_share=0.440|routine_share=0.130|job_zone_norm=0.750|wage_pct=0.267
occ_13_1161_00,0.4657,0.6257,0.6910,0.6749,0.7059,0.8050,0.4200,0.6483,0.7814,src_bls_ors_2025_prelim|src_oecd_job_quality_2014|src_onet_30_1|src_internal_stub_2026_03|src_census_acs_2024_1yr_pums_api|src_onet_30_1|src_anthropic_ei_2026_03_24|src_bls_oews_2024|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03|src_bls_oews_2024|src_census_acs_2024_1yr_pums_api|src_census_btos_2026_03|src_runtime_function_context_2026_03,knowledge_share=0.580|people_share=0.000|routine_share=0.170|job_zone_norm=0.750|wage_pct=0.467
occ_13_2011_00,0.4749,0.5618,0.6694,0.6749,0.6808,0.7600,0.4435,0.5872,0.7235,src_bls_ors_2025_prelim|src_oecd_job_quality_2014|src_onet_30_1|src_internal_stub_2026_03|src_census_acs_2024_1yr_pums_api|src_onet_30_1|src_anthropic_ei_2026_03_24|src_bls_oews_2024|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03|src_bls_oews_2024|src_census_acs_2024_1yr_pums_api|src_census_btos_2026_03|src_runtime_function_context_2026_03,knowledge_share=0.300|people_share=0.050|routine_share=0.270|job_zone_norm=0.750|wage_pct=0.550
