"occupation_id","source_id","exposure_score","augmentation_score","automation_score","adaptive_capacity_score","confidence","release_date","notes"
"occ_15_1241_00","src_v2_launch_aggregate_2026_03","0.142","0.286","0.213","0.647","0.70","2026-03-27","derived_launch_aggregate|anthropic_cluster_coverage=0.98|job_zone=4|labor_resilience=0.45"
"occ_15_1244_00","src_v2_launch_aggregate_2026_03","0.233","0.252","0.136","0.559","0.71","2026-03-27","derived_launch_aggregate|anthropic_cluster_coverage=0.96|job_zone=4|labor_resilience=0.22"
"occ_15_1252_00","src_v2_launch_aggregate_2026_03","0.662","0.495","0.415","0.664","0.60","2026-03-27","derived_launch_aggregate|anthropic_cluster_coverage=0.37|job_zone=4|labor_resilience=0.50"
"occ_15_1253_00","src_v2_launch_aggregate_2026_03","0.475","0.382","0.314","0.538","0.81","2026-03-27","derived_launch_aggregate|anthropic_cluster_coverage=0.99|job_zone=4|labor_resilience=0.39"
"occ_15_2031_00","src_v2_launch_aggregate_2026_03","0.108","0.287","0.062","0.674","0.60","2026-03-27","derived_launch_aggregate|anthropic_cluster_coverage=0.98|job_zone=5|labor_resilience=0.51"
"occ_17_2051_00","src_v2_launch_aggregate_2026_03","0.465","0.510","0.096","0.617","0.51","2026-03-27","derived_launch_aggregate|anthropic_cluster_coverage=0.11|job_zone=4|labor_resilience=0.33"
"occ_17_2071_00","src_v2_launch_aggregate_2026_03","0.139","0.216","0.145","0.635","0.51","2026-03-27","derived_launch_aggregate|anthropic_cluster_coverage=0.84|job_zone=4|labor_resilience=0.37"
"occ_17_2072_00","src_v2_launch_aggregate_2026_03","0.282","0.473","0.295","0.630","0.69","2026-03-27","derived_launch_aggregate|anthropic_cluster_coverage=0.74|job_zone=4|labor_resilience=0.38"
"occ_17_2112_00","src_v2_launch_aggregate_2026_03","0.419","0.386","0.191","0.589","0.63","2026-03-27","derived_launch_aggregate|anthropic_cluster_coverage=0.49|job_zone=4|labor_resilience=0.40"
"occ_17_2141_00","src_v2_launch_aggregate_2026_03","0.254","0.326","0.133","0.579","0.67","2026-03-27","derived_launch_aggregate|anthropic_cluster_coverage=0.74|job_zone=4|labor_resilience=0.38"
"occ_23_1011_00","src_v2_launch_aggregate_2026_03","0.152","0.173","0.169","0.714","0.59","2026-03-27","derived_launch_aggregate|anthropic_cluster_coverage=0.81|job_zone=5|labor_resilience=0.38"
"occ_23_2011_00","src_v2_launch_aggregate_2026_03","0.198","0.201","0.075","0.457","0.41","2026-03-27","derived_launch_aggregate|anthropic_cluster_coverage=0.62|job_zone=3|labor_resilience=0.27"
"occ_27_1024_00","src_v2_launch_aggregate_2026_03","0.131","0.456","0.253","0.622","0.74","2026-03-27","derived_launch_aggregate|anthropic_cluster_coverage=1.00|job_zone=4|labor_resilience=0.28"
"occ_27_3023_00","src_v2_launch_aggregate_2026_03","0.205","0.271","0.331","0.567","0.65","2026-03-27","derived_launch_aggregate|anthropic_cluster_coverage=0.83|job_zone=4|labor_resilience=0.22"
"occ_27_3031_00","src_v2_launch_aggregate_2026_03","0.234","0.528","0.412","0.643","0.78","2026-03-27","derived_launch_aggregate|anthropic_cluster_coverage=0.96|job_zone=4|labor_resilience=0.32"
"occ_27_3041_00","src_v2_launch_aggregate_2026_03","0.257","0.327","0.269","0.610","0.66","2026-03-27","derived_launch_aggregate|anthropic_cluster_coverage=0.79|job_zone=4|labor_resilience=0.29"
"occ_27_3042_00","src_v2_launch_aggregate_2026_03","0.269","0.291","0.191","0.520","0.58","2026-03-27","derived_launch_aggregate|anthropic_cluster_coverage=0.75|job_zone=4|labor_resilience=0.30"
"occ_27_3043_00","src_v2_launch_aggregate_2026_03","0.213","0.288","0.470","0.669","0.79","2026-03-27","derived_launch_aggregate|anthropic_cluster_coverage=1.00|job_zone=4|labor_resilience=0.50"
"occ_41_3011_00","src_v2_launch_aggregate_2026_03","0.244","0.343","0.267","0.589","0.70","2026-03-27","derived_launch_aggregate|anthropic_cluster_coverage=0.81|job_zone=4|labor_resilience=0.20"
"occ_41_3021_00","src_v2_launch_aggregate_2026_03","0.265","0.221","0.201","0.551","0.71","2026-03-27","derived_launch_aggregate|anthropic_cluster_coverage=0.85|job_zone=4|labor_resilience=0.30"
"occ_41_3031_00","src_v2_launch_aggregate_2026_03","0.090","0.269","0.362","0.602","0.69","2026-03-27","derived_launch_aggregate|anthropic_cluster_coverage=1.00|job_zone=4|labor_resilience=0.30"
"occ_41_3091_00","src_v2_launch_aggregate_2026_03","0.089","0.302","0.237","0.595","0.52","2026-03-27","derived_launch_aggregate|anthropic_cluster_coverage=1.00|job_zone=2|labor_resilience=0.31"
"occ_41_4011_00","src_v2_launch_aggregate_2026_03","0.171","0.337","0.423","0.655","0.77","2026-03-27","derived_launch_aggregate|anthropic_cluster_coverage=1.00|job_zone=4|labor_resilience=0.33"
"occ_43_1011_00","src_v2_launch_aggregate_2026_03","0.244","0.339","0.198","0.432","0.62","2026-03-27","derived_launch_aggregate|anthropic_cluster_coverage=0.84|job_zone=3|labor_resilience=0.26"
"occ_43_3021_00","src_v2_launch_aggregate_2026_03","0.070","0.074","0.147","0.417","0.53","2026-03-27","derived_launch_aggregate|anthropic_cluster_coverage=1.00|job_zone=3|labor_resilience=0.24"
"occ_43_3031_00","src_v2_launch_aggregate_2026_03","0.209","0.210","0.319","0.407","0.64","2026-03-27","derived_launch_aggregate|anthropic_cluster_coverage=0.86|job_zone=3|labor_resilience=0.21"
"occ_43_4031_00","src_v2_launch_aggregate_2026_03","0.219","0.294","0.365","0.280","0.70","2026-03-27","derived_launch_aggregate|anthropic_cluster_coverage=0.93|job_zone=2|labor_resilience=0.28"
"occ_43_4051_00","src_v2_launch_aggregate_2026_03","0.270","0.380","0.392","0.375","0.61","2026-03-27","derived_launch_aggregate|anthropic_cluster_coverage=0.71|job_zone=2|labor_resilience=0.21"
"occ_43_4131_00","src_v2_launch_aggregate_2026_03","0.198","0.159","0.416","0.453","0.66","2026-03-27","derived_launch_aggregate|anthropic_cluster_coverage=0.92|job_zone=3|labor_resilience=0.20"
"occ_43_4171_00","src_v2_launch_aggregate_2026_03","0.121","0.210","0.278","0.305","0.64","2026-03-27","derived_launch_aggregate|anthropic_cluster_coverage=1.00|job_zone=2|labor_resilience=0.26"
"occ_43_6011_00","src_v2_launch_aggregate_2026_03","0.192","0.233","0.350","0.431","0.67","2026-03-27","derived_launch_aggregate|anthropic_cluster_coverage=0.91|job_zone=3|labor_resilience=0.27"
"occ_43_6014_00","src_v2_launch_aggregate_2026_03","0.167","0.215","0.306","0.199","0.68","2026-03-27","derived_launch_aggregate|anthropic_cluster_coverage=1.00|job_zone=2|labor_resilience=0.24"
"occ_43_9041_00","src_v2_launch_aggregate_2026_03","0.243","0.237","0.365","0.337","0.64","2026-03-27","derived_launch_aggregate|anthropic_cluster_coverage=0.82|job_zone=2|labor_resilience=0.20"
"occ_43_9061_00","src_v2_launch_aggregate_2026_03","0.241","0.290","0.163","0.392","0.51","2026-03-27","derived_launch_aggregate|anthropic_cluster_coverage=0.75|job_zone=2|labor_resilience=0.18"
"occ_43_9111_00","src_v2_launch_aggregate_2026_03","0.161","0.182","0.223","0.353","0.61","2026-03-27","derived_launch_aggregate|anthropic_cluster_coverage=0.90|job_zone=4|labor_resilience=0.26"
